sample,Habitat,Water_weight,Water_content
BB 1-1,wetland,2.9,14.05305247
BB 1-2,wetland,3.8,19.59417914
BB 2-1,wetland,0.5,2.279562394
BB 2-2,wetland,1.2,5.380746807
BB 3-1,wetland,2.4,11.15710254
BB 4-1,grassland,0.5,2.223380233
BB 4-2,grassland,0.7,2.920759659
BB 5-1,grassland,0.4,1.597388466
BB 5-2,grassland,0.2,1.009310015
BB 6-1,bluff,0.4,1.617929562
BB 6-2,bluff,0.3,1.31612465
JP 1-1,grassland,0,0.181887399
JP 1-2,grassland,0.1,0.216019315
JP 2-1,grassland,0,0.141770847
JP 2-2,grassland,0,0.158465031
JP 3-1,wetland,3,14.57633814
JP 3-2,wetland,2.9,14.32925331
McL 1-1,woodland,0.2,0.814471879
McL 1-2,woodland,0.1,0.458460088
McL 3-1,grassland,0.1,0.440379404
McL 3-2,grassland,0.1,0.583608221
McL 5-1,grassland,0,0.097025944
McL 5-2,grassland,0.1,0.280683848
McL 6-1,chaparral,0.1,0.467047224
McL 6-2,chaparral,0.1,0.582805122
QR 1-1,chaparral,0.1,0.569130044
QR 1-2,chaparral,0.2,1.034229088
QR 2-2,woodland,0.5,2.266094421
SCC 1-1,grassland,0.2,0.889901552
SCC 1-2,grassland,0.2,0.714224981
SCC 2-1,woodland,0.1,0.369924295
SCC 2-2,woodland,0.1,0.469721975
