SampleID2,SampleID,pH_Soil,pH_Buffer,Soluble_Salts,Lime,Texture,OM,Nitrate,lbs,Phosphorus,Potassium,Sulfate,Zinc,Iron,Manganese,Copper,Calcium,Magnesium,Sodium,CEC,H_Sat,K_Sat,Ca_Sat,Mg_Sat,Na_Sat,
BB 1-1,BB_1_1,7.4,7.2,0.19,NONE,1,6.5,2.5,4,17.5,27,19.6,2.17,148.7,26,1.08,2625,212,72,15.3,0,0,86,12,2,
BB 1-2,BB_1_2,6.7,7.2,0.21,NONE,1,13,0.3,1,15.9,38,5.1,3.51,449.8,37.2,1.42,1756,325,86,12,0,1,73,23,3,
BB 2-1,BB_2_1,7.2,7.2,3.41,NONE,1,0.6,1,2,4.3,179,118.7,0.76,35.2,1.6,0.69,164,256,1751,11,0,4,7,19,69,
BB 2-2,BB_2_2,7.6,7.2,1.59,NONE,1,0.7,4.5,8,10.7,183,119.2,0.74,40.3,2,0.64,166,265,1684,10.8,0,4,8,20,68,
BB 3-1,BB_3_1,6.2,6.9,0.51,NONE,1,1.2,1.1,2,4.7,44,51.6,0.65,66.5,3.3,1.06,452,164,170,5.7,21,2,40,24,13,
BB 4-1,BB_4_1,5.8,6.4,0.6,NONE,2,7,12,22,12.8,427,21.8,1.34,70.9,9.3,0.32,1071,467,146,16.9,35,6,32,23,4,
BB 4-2,BB_4_2,5.7,6.1,0.34,NONE,2,7.4,14.9,27,11.1,335,15.6,1.33,94.1,8.1,0.31,965,438,179,19.3,48,4,25,19,4,
BB 5-1,BB_5_1,6.2,6.3,0.33,NONE,2,7.5,4.2,8,8.1,315,21.2,1.98,85.7,10.4,0.3,1034,685,221,19.2,34,4,27,30,5,
BB 5-2,BB_5_2,5.9,6.2,0.31,NONE,2,7.9,2.8,5,11.1,250,14,2.67,145.6,13.4,0.42,1050,631,200,19.6,39,3,27,27,4,
BB 6-1,BB_6_1,5.3,5.7,0.17,NONE,2,6.5,0.9,2,13.6,274,14,2.73,153.6,32.1,0.32,477,546,155,21.4,61,3,11,21,3,
BB 6-2,BB_6_2,5.7,6,0.36,NONE,2,7.2,0.8,1,8.6,385,9.2,2.46,141.4,33.5,0.34,590,658,236,20.8,50,5,14,26,5,
JP 1-1,JP_1_1,5.5,6.3,0.1,NONE,2,3.2,2.4,4,4.2,192,7.5,2.11,108.6,35,1.22,483,138,60,11.6,63,4,21,10,2,
JP 1-2,JP_1_2,6.3,6.5,0.08,NONE,2,3.7,6.2,11,11,246,6.6,3.64,73.9,37.2,1.4,746,175,28,10.6,44,6,35,14,1,
JP 2-1,JP_2_1,5.3,6.4,0.05,NONE,2,2.1,0.7,1,7.6,69,4.8,1.26,116,58.6,2.3,366,153,66,9.8,63,2,19,13,3,
JP 2-2,JP_2_2,5.7,6.4,0.09,NONE,2,2.6,1.8,3,30.4,86,9.3,1.93,139.8,66.6,2.46,316,159,78,9.1,62,2,17,15,4,
JP 3-1,JP_3_1,7.5,7.2,0.42,NONE,2,2.9,0.2,0,4.3,64,51.6,1.13,73.3,42.5,2.86,939,617,340,11.5,0,1,41,45,13,
JP 3-2,JP_3_2,6.3,6.8,0.37,NONE,2,4.1,0.3,1,9.5,59,54.9,2.66,193.1,49.6,3.9,999,637,223,12.9,12,1,38,41,8,
MCL 1-1,MCL_1_1,6.5,6.9,0.1,NONE,2,7.9,0.8,2,26,229,9.4,3.18,38,38,1.17,2949,532,12,20.6,4,3,71,22,0,
