name,rmphix,bases,vOTU_recovery_mappingback,num contigs >10kb assembled,vibrant (>10k),virfinder,Virsort (>10k),SumViralContigs,PctViralToTotalContigs,natres_site,gen_habitat
BB_1_1_S79,92987699,13267688271,513,1444,475,204,270,949,66,Bodega Bay,wetland
BB_1_2_S80,65971463,9378267184,58,341,32,20,22,74,22,Bodega Bay,wetland
BB_2_1_S14,89611811,12880574818,331,2884,141,136,80,357,12,Bodega Bay,wetland
BB_2_2_S31,87780917,12435515832,1369,1478,1233,654,728,2615,177,Bodega Bay,wetland
BB_3_1_S81,77950062,11141697063,64,936,56,17,35,108,12,Bodega Bay,wetland
BB_4_1_S82,85918685,12361354066,213,272,163,101,82,346,127,Bodega Bay,grassland
BB_4_2_S83,67670186,9720625784,51,133,11,5,6,22,17,Bodega Bay,grassland
BB_5_1_S84,50847584,7291336724,94,88,50,30,26,106,120,Bodega Bay,grassland
BB_5_2_S85,75104681,10827320252,109,621,51,20,29,100,16,Bodega Bay,grassland
JP_1_1_S88,62196516,8827585959,10,81,4,0,1,5,6,Jepson Prairie,grassland
JP_1_2_S89,64712831,9248301573,16,252,12,7,3,22,9,Jepson Prairie,grassland
JP_2_1_S44,59913735,8556836855,24,205,8,5,4,17,8,Jepson Prairie,grassland
JP_2_2_S32,68220342,9757029836,60,460,48,29,19,96,21,Jepson Prairie,grassland
JP_3_1_S45,87174541,12465769228,133,727,89,56,67,212,29,Jepson Prairie,wetland
JP_3_2_S46,75977651,10770059857,174,703,122,79,74,275,39,Jepson Prairie,wetland
McL_1_1_S77,70010912,10066185165,49,39,32,23,22,77,197,McLaughlin,woodland
McL_1_2_S78,71365651,10262753872,142,129,123,48,68,239,185,McLaughlin,woodland
McL_3_1_S30,67638614,9684174994,154,264,91,42,46,179,68,McLaughlin,grassland
McL_3_2_S13,82251173,11778960377,189,311,139,66,73,278,89,McLaughlin,grassland
McL_5_1_S40,64275604,9153499987,312,295,251,154,133,538,182,McLaughlin,grassland
McL_5_2_S41,63247678,9021549416,202,356,106,53,62,221,62,McLaughlin,grassland
McL_6_1_S42,74000924,10615551340,35,32,19,17,10,46,144,McLaughlin,chaparral
McL_6_2_S43,73082230,10531128792,22,14,10,5,6,21,150,McLaughlin,chaparral
QR_1_1_S74,69324896,9935710300,25,27,11,7,6,24,89,Quail Ridge,chaparral
QR_1_2_S75,64538288,9268529983,290,184,158,83,85,326,177,Quail Ridge,chaparral
QR_2_2_S76,74967438,10697561066,33,493,24,16,11,51,10,Quail Ridge,woodland
SCC_1_1_S37,65740055,9381661452,2,25,2,0,2,4,16,Stebbins Cold Canyon,grassland
SCC_1_2_S73,66126062,9477704413,14,13,13,7,7,27,208,Stebbins Cold Canyon,grassland
SCC_2_1_S38,74243202,10657534997,12,31,9,5,8,22,71,Stebbins Cold Canyon,woodland
SCC_2_2_S39,67769628,9674646194,12,12,7,4,6,17,142,Stebbins Cold Canyon,woodland
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,3432 dereplicated,,,,,
