,SampleID,num reads,num bases,vibrant,virfinder,Virsort,vir_recovery_mapped_back,natres_site,gen_habitat,rrna_reads,percent_rrna
1,BB_1_1,92987699,13267688271,475,204,270,513,Bodega Bay,wetland,16806,0.018073358
2,BB_1_2,65971463,9378267184,32,20,22,58,Bodega Bay,wetland,13694,0.02075746
3,BB_2_1,89611811,12880574818,141,136,80,331,Bodega Bay,wetland,39386,0.043951796
4,BB_2_2,87780917,12435515832,1233,654,728,1369,Bodega Bay,wetland,17506,0.019942831
5,BB_3_1,77950062,11141697063,56,17,35,64,Bodega Bay,wetland,20576,0.026396387
6,BB_4_1,85918685,12361354066,163,101,82,213,Bodega Bay,grassland,27142,0.031590335
7,BB_4_2,67670186,9720625784,11,5,6,51,Bodega Bay,grassland,21846,0.03228305
8,BB_5_1,50847584,7291336724,50,30,26,94,Bodega Bay,grassland,16012,0.031490188
9,BB_5_2,75104681,10827320252,51,20,29,109,Bodega Bay,grassland,24206,0.032229682
10,BB_6_1,62352946,8942475920,20,7,10,31,Bodega Bay,bluff,9436,0.015133206
11,BB_6_2,64121280,9225499354,10,6,2,70,Bodega Bay,bluff,9056,0.014123236
12,JP_1_1,62196516,8827585959,4,0,1,10,Jepsen Prairie,grassland,14230,0.022879095
13,JP_1_2,64712831,9248301573,12,7,3,16,Jepsen Prairie,grassland,10906,0.016852917
14,JP_2_1,59913735,8556836855,8,5,4,24,Jepsen Prairie,grassland,15516,0.025897234
15,JP_2_2,68220342,9757029836,48,29,19,60,Jepsen Prairie,grassland,25004,0.036651824
16,JP_3_1,87174541,12465769228,89,56,67,133,Jepsen Prairie,wetland,26390,0.0302726
17,JP_3_2,75977651,10770059857,122,79,74,174,Jepsen Prairie,wetland,23142,0.030458957
18,McL_1_1,70010912,10066185165,32,23,22,49,McLaughlin,woodland,21884,0.031257984
19,McL_1_2,71365651,10262753872,123,48,68,142,McLaughlin,woodland,21796,0.030541303
20,McL_3_1,67638614,9684174994,91,42,46,154,McLaughlin,grassland,6550,0.009683818
21,McL_3_2,82251173,11778960377,139,66,73,189,McLaughlin,grassland,24510,0.029798967
22,McL_5_1,64275604,9153499987,251,154,133,312,McLaughlin,grassland,12536,0.019503512
23,McL_5_2,63247678,9021549416,106,53,62,202,McLaughlin,grassland,12690,0.020063978
24,McL_6_1,74000924,10615551340,19,17,10,35,McLaughlin,chaparral,22898,0.030942857
25,McL_6_2,73082230,10531128792,10,5,6,22,McLaughlin,chaparral,22084,0.030218016
26,QR_1_1,69324896,9935710300,11,7,6,25,Quail Ridge,chaparral,23532,0.033944515
27,QR_1_2,64538288,9268529983,158,83,85,290,Quail Ridge,chaparral,8172,0.012662251
28,QR_2_2,74967438,10697561066,24,16,11,33,Quail Ridge,woodland,21786,0.029060617
29,SCC_1_1,65740055,9381661452,2,0,2,2,Stebbins Cold Canyon,grassland,10192,0.015503486
30,SCC_1_2,66126062,9477704413,13,7,7,14,Stebbins Cold Canyon,grassland,9404,0.014221322
31,SCC_2_1,74243202,10657534997,9,5,8,12,Stebbins Cold Canyon,woodland,20964,0.028236929
32,SCC_2_2,67769628,9674646194,7,4,6,12,Stebbins Cold Canyon,woodland,10268,0.01515133
